java,36
r,3
python,16
c#,32
ruby,3
algorithms,4
object oriented,21
data structures,5
web framework,0
node js,3
angular,11
react,7
sql,50
mysql,8
html,27
css,25
redis,0
javascript,38
linux,12
mongodb,1
php,10
rust,0
scala,3
swift,2
android,4
ios,4
c,11
asp,12
xsl,0
xml,9
mvc,15
silverlight,0
oracle,7
objective c,3
meteor,0
django,1
bootstrap,9
drupal,0
ember,0
wordpress,1
net,29
backbone,0
cordova,0
ionic,0
jquery,12
underscore,0
postgresql,2
postgre,0
rest,10
json,5
csv,0
api,12
rspec,0
vue,1
git,11
cloud,11
pl,1
visual basic,0
delphi,0
maven,1
junit,2
derby,0
lucene,0
salesforce,0
phpunit,0
nunit,0
dbunit,0
selenium,2
sqlite,1
microsoft office,3
unix,3
bi,2
aws,2
